,Order,Family,Genus,Species,CommonName,TypeLocality
305,dasyuromorphia,dasyuridae,ningaui,yvonnae,Southern Ningaui,"""Mt. Manning Area, Western Australia Goldfields, 29°58'S, 119°32'E""."
723,afrosoricida,tenrecidae,microgale,brevicaudata,Short-tailed Shrew Tenrec,"""Environs de Mahanara, à 75 km environ au sud de Vohémar, sur la côte nord-est de Madagascar"" [Maharana River, 78 km S of Iharana [Vohimarina], Antsiranana, Antalaha, Madagascar (MacPhee, 1987)]."
729,afrosoricida,tenrecidae,microgale,gracilis,Gracile Shrew Tenrec,"Ambohimitombo forest, Madagascar [Ambohimitombo town, 43 km by road SE of Ambositra, 10 km into eastern forest, Fianarantsoa, 20°43S 47°26E (MacPhee, 1987)]."
731,afrosoricida,tenrecidae,microgale,longicaudata,Lesser Long-tailed Shrew Tenrec,"Ankáfana forest, E Betsileo, Madagascar [Ankafina, Fianarantsoa, Fianarantsoa Province, 21°12S 47°12E (see MacPhee, 1987; Carleton and Schmidt, 1990)]."
738,afrosoricida,tenrecidae,microgale,taiva,Taiva Shrew Tenrec,"Ambohimitombo forest, Tanala Country, Madagascar [Ambohimitombo town, 43 km by road SE of Ambositra, 10 km into eastern forest, Fianarantsoa, 20°43S 47°26E (MacPhee, 1987)]."
742,afrosoricida,tenrecidae,oryzorictes,hova,Mole-like Rice Tenrec,"""Ankaye et Antsianak"" [Ankay, along the Mangoro River, near Lac Alaotra and Antsianaka, region E of Lac Alaotra, Madagascar (Viette, 1991)]."
743,afrosoricida,tenrecidae,oryzorictes,tetradactylus,Four-toed Rice Tenrec,"""Du plateau dEmirne"" [Imerina, Madagascar (Viette, 1991)]."
814,afrosoricida,chrysochloridae,calcochloris,leucorhinus,Congo Golden Mole,"""Gulf of Guinea Coast, Congo."""
906,hyracoidea,procaviidae,heterohyrax,brucei,Yellow-spotted Rock Hyrax.,Ethiopia (= Abyssinia).
973,sirenia,trichechidae,trichechus,senegalensis,African Manatee,Senegal
1027,cingulata,dasypodidae,tolypeutes,tricinctus,Brazilian Three-banded Armadillo,"""In India orientali;"" redefined as Pernambuco, Brazil, by Sanborn (1930)."
1035,pilosa,bradypodidae,bradypus,variegatus,Brown-throated Sloth,"""Sudamerika;"" restricted to Brazil by Mertens (1925) who suggested that the type may have come from Bahia."
1088,scandentia,tupaiidae,dendrogale,murina,Northern Smooth-Tailed Treeshrew,"Given as ""Pontianak"" (Kalimantan, Borneo); with little doubt actually collected by Diard at Cochin Chine, Vietnam (C. Smeenk, in litt.)."
1581,primates,cercopithecidae,allenopithecus,nigroviridis,Allens Swamp Monkey,"Dem. Rep. Congo, upper Congo River."
1583,primates,cercopithecidae,cercocebus,agilis,Agile Mangabey,"Dem. Rep. Congo, Republic Poste des Ouaddas (junction of Oubangui and Congo Rivers)."
1605,primates,cercopithecidae,cercopithecus,ascanius,Red-tailed Monkey,"Angola (NW, by lower Congo River). See Machado (1969)."
1656,primates,cercopithecidae,cercopithecus,sclateri,Sclaters Guenon,"Nigeria, Benin City."
1708,primates,cercopithecidae,macaca,mulatta,Rhesus Monkey,"India, Nepal Terai."
1948,primates,hominidae,gorilla,gorilla,Western Gorilla,"Gabon, Gabon Estuary, Mpongwe country."
2002,rodentia,sciuridae,ratufa,indica,Indian Giant Squirrel,"""in India orientali"" [Bombay, India]. Based on ""Pennant's Bombay squirrel"" (Moore and Tate, 1965:43)."
2434,rodentia,sciuridae,callosciurus,erythraeus,Pallass Squirrel,"Not known; restricted to Assam, India by Bonhote (1901<i>a</i>); further restricted to the Garo Hills of Assam by Moore and Tate (1965)."
2621,rodentia,sciuridae,sundasciurus,davensis,Davao Squirrel,"""Madaum, 25 feet [8 m] altitude, Tagum Municipality, Davao Province, Mindanao Island, Philippines Islands."""
2665,rodentia,sciuridae,tamiops,rodolphii,Cambodian Striped Squirrel,"""Cochin China near Saigon,"" [Vietnam]."
2686,rodentia,sciuridae,xerus,erythropus,Striped Ground Squirrel,"Senegal (neotype). Origin of original type unknown. ""Inconnue."""
2722,rodentia,sciuridae,funisciurus,congicus,Congo Rope Squirrel,"""Congo"". No specific locale given, probably Angola (Hill and Carter, 1941:71)."
2768,rodentia,sciuridae,heliosciurus,punctatus,Small Sun Squirrel,"Guinea coast, no exact locality given. ""...dans toutes les forêts de la Guiné..."" Given by Ingoldby (1927) as Ghana: ""Secondi and Bibiani, Gold Coast."""
3020,rodentia,sciuridae,spermophilus,madrensis,Sierra Madre Ground Squirrel,"""from Sierra Madre, near Guadalupe y Calvo, Chihuahua, Mexico (7,000 feet [2134 m] altitude)."""
3258,rodentia,gliridae,eliomys,quercinus,Garden Dormouse,Germany
3260,rodentia,gliridae,muscardinus,avellanarius,Hazel Dormouse,Sweden
3269,rodentia,gliridae,glirulus,japonicus,Japanese Dormouse,Japan
3459,rodentia,heteromyidae,liomys,adspersus,Panamanian Spiny Pocket Mouse,"Panama, City of Panama (restricted by Goldman, 1920)."
3543,rodentia,heteromyidae,chaetodipus,penicillatus,Desert Pocket Mouse,"USA, San Francisco Mountains, New Mexico (fixed to Arizona, Yuma Co., 1 mi [1.6 km] SW Parker by Hoffmeister and Lee, 1967)."
3781,rodentia,geomyidae ,orthogeomys,hispidus,Hispid Pocket Gopher.,"Mexico (restricted to Veracruz, near Jalapa, by Merriam, 1895<i>a</i>)."
4066,rodentia,dipodidae,allactaga,elater,Small Five-toed Jerboa,"W Kazakhstan, Kirgiz Steppe. The type locality given by Lichtenstein (1828) is in W Kazakhstan, according to Vinogradov (1937), Kuznetsov (1944, 1965), and Ognev (1963<i>b</i>), not E Kazakhstan as reported by Ellerman and Morrison-Scott (1951:529) and Corbet (1978<i>c</i>:154)."
4067,rodentia,dipodidae,allactaga,euphratica,Euphrates Jerboa,Iraq (no other information).
4093,rodentia,dipodidae,salpingotus,crassicauda,Thick-tailed Pygmy Jerboa,"China, N Xinjiang, Altai Gobi, near Schara-sumé (Sharasume), approx. 160km S Russia-Mongolian border. Most authors list the type locality as being in W Mongolia, but it is actually in N Xinjiang, China (G. Shenbrot, pers. comm.)."
4097,rodentia,dipodidae,salpingotus,thomasi,Thomass Pygmy Jerboa,"Afghanistan or S Tibet (Ognev, 1963<i>b</i>; Vinogradov, 1928)."
4106,rodentia,dipodidae,jaculus,orientalis,Greater Egyptian Jerboa,"Egypt, in the ""mountains separating Egypt from Arabia"" (G. M. Allen, 1939:424)."
4211,rodentia,nesomyidae,cricetomys,gambianus,Northern Giant Pouched Rat,"Gambia, Gambia River."
4338,rodentia,cricetidae,dinaromys,bogdanovi,Balkan Snow Vole,"W Serbia and Montenegro, Rijeka Prov., Montenegro, Cetinje."
4410,rodentia,cricetidae,microtus,liechtensteini,Liechtensteins Pine Vole,"Croatia, northwestern segment of Dinaric Alps, Velebit Mtns, summit of Mali Rajinac, 1699 m (Brunet-Lecomte and Krytufek, 1993)."
4478,rodentia,cricetidae,prometheomys,schaposchnikowi,Long-clawed Mole Vole,"Georgia (Gruzinskaya), Caucasus Mtns, Gudaur, S of Krestovyi Pass, 6500 ft (as given by Ognev, 1963<i>b</i>)."
4515,rodentia,cricetidae,lophiomys,imhausi,Maned Rat,"Somalia (""Probably from African coast opposite Aden, where it was purchased,"" G. M. Allen, 1939:315; also see Thomas, 1910<i>c</i>:222)."
4686,rodentia,cricetidae,akodon,azarae,Azaras Akodont,"Argentina, Entre Ríos Prov., about 30°30'S latitude between the Uruguay and Paraná Rivers."
4755,rodentia,cricetidae,calomys,callosus,Big Laucha,"Paraguay, Neembucú Dept., banks of Río Paraguay about 27º S latitude (refined as opposite mouth of Río Bermejo by Hershkovitz, 1962:172, and restricted as vicinity of Ciudad Pilar by Contreras, 1992:2)."
4757,rodentia,cricetidae,calomys,hummelincki,Hummelincks Laucha,"Netherlands West Indies, Curaçao, Klein Santa Martha."
